統合ID,文字,成唯識論,字体数,用例数,部首
00020,且,0001,0,1,001
00070,主,0002,0,1,003
00405,假,0003,0,1,009
00449,傍,0004,0,1,009
00503,僧,0005,0,1,009
00236,伽,0006,0,1,009
00373,倒,0007,0,1,009
00209,企,0008,0,1,009
00411,偏,0009,0,1,009
00175,今,0010,0,1,009
00582,入,0011,0,1,011
00613,兼,0012,0,1,012
00678,准,0013,0,1,015
00913,勸,0014,0,1,019
00866,劬,0015,0,1,019
00894,勞,0016,0,1,019
00900,勤,0017,0,1,019
00919,勿,0018,0,1,020
01295,哀,0019,0,1,030
01235,周,0020,0,1,030
01179,向,0021,0,1,030
01242,味,0022,0,1,030
01197,含,0023,0,1,030
01949,夫,0024,0,1,037
02029,好,0025,0,1,038
02069,始,0026,0,1,038
02361,密,0027,0,1,040
02435,對,0028,0,1,041
02426,專,0029,0,1,041
02446,尚,0030,0,1,042
02775,巧,0031,0,1,048
02806,希,0032,0,1,050
03196,忘,0034,0,1,061
03414,愧,0035,0,1,061
03453,慙,0036,0,1,061
03272,恐,0037,0,1,061
03402,愍,0038,0,1,061
04489,易,0039,0,1,072
04505,昧,0040,0,1,072
04693,望,0041,0,1,074
05368,機,0042,0,1,075
05580,欲,0043,0,1,076
05676,歸,0044,0,1,077
06096,泯,0045,0,1,085
06499,漢,0046,0,1,085
06055,治,0047,0,1,085
06292,淺,0048,0,1,085
06015,沈,0049,0,1,085
06651,濫,0050,0,1,085
06275,淪,0051,0,1,085
07080,物,0052,0,1,093
07230,獨,0053,0,1,094
07122,狀,0054,0,1,094
07345,瑜,0055,0,1,096
07287,珍,0056,0,1,096
07508,留,0057,0,1,102
07503,畏,0058,0,1,102
07709,白,0059,0,1,106
07878,瞋,0060,0,1,109
07986,破,0061,0,1,112
08148,福,0062,0,1,113
08248,稱,0063,0,1,115
08718,糧,0064,0,1,119
08795,終,0065,0,1,120
09073,纔,0066,0,1,120
09144,羅,0067,0,1,122
09175,羣,0068,0,1,123
09245,翼,0069,0,1,124
11189,譬,0070,0,1,149
11028,誰,0071,0,1,149
10896,計,0072,0,1,149
11404,質,0073,0,1,154
11373,資,0074,0,1,154
11342,貪,0075,0,1,154
11467,超,0076,0,1,156
11548,路,0077,0,1,157
11801,輔,0078,0,1,159
11827,輪,0079,0,1,159
11908,辨,0080,0,1,160
12108,還,0081,0,1,162
12074,遣,0082,0,1,162
12003,速,0083,0,1,162
12001,逝,0084,0,1,162
12022,進,0085,0,1,162
12371,釋,0086,0,1,165
12406,鈍,0087,0,1,167
12698,長,0088,0,1,168
12855,除,0089,0,1,170
12994,雙,0090,0,1,172
13020,雲,0091,0,1,173
13302,順,0092,0,1,181
13327,領,0093,0,1,181
13641,饒,0094,0,1,184
14720,默,0095,0,1,203
00001,一,0096,1,82,001
00008,上,0098,1,14,001
00009,下,0099,1,2,001
00004,七,0100,1,8,001
00013,不,0101,1,100,001
00007,三,0103,1,40,001
00051,中,0104,1,39,002
00085,久,0105,1,3,004
00078,乃,0106,1,5,004
00102,乘,0107,1,21,004
00088,之,0108,1,8,004
00107,九,0109,1,6,005
00128,事,0110,1,15,006
00125,了,0111,1,2,006
00129,二,0112,1,85,007
00133,云,0114,1,5,007
00135,五,0115,1,28,007
00154,亦,0116,1,37,008
00235,似,0117,1,5,009
00489,像,0118,1,5,009
00256,作,0119,1,18,009
00282,來,0120,1,39,009
00194,以,0121,1,7,009
00240,但,0122,1,13,009
00350,倶,0123,1,24,009
00301,依,0124,1,96,009
00193,令,0126,1,20,009
00243,位,0127,1,33,009
00217,伏,0128,1,13,009
00338,俗,0129,1,5,009
00206,任,0130,1,2,009
00321,便,0131,1,6,009
00255,佛,0132,1,49,009
00250,何,0133,1,16,009
00183,他,0134,1,28,009
00245,住,0135,1,19,009
00585,内,0136,1,10,011
00606,具,0137,1,12,012
00599,共,0138,1,16,012
00594,八,0139,1,12,012
00597,六,0140,1,8,012
00605,其,0141,1,7,012
00723,出,0142,1,7,017
00763,別,0143,1,35,018
00734,分,0144,1,19,018
00735,切,0145,1,34,018
00781,刹,0146,1,8,018
00767,利,0147,1,22,018
00794,前,0148,1,29,018
00759,初,0149,1,23,018
00803,剛,0150,1,10,018
00856,力,0151,1,17,019
00887,動,0152,1,3,019
00893,勝,0153,1,18,019
00858,加,0154,1,5,019
00865,劫,0155,1,2,019
00859,劣,0156,1,11,019
00857,功,0157,1,23,019
00898,勢,0158,1,2,019
00881,勇,0159,1,2,019
00938,化,0160,1,37,021
00985,十,0161,1,29,024
01049,卽,0162,1,17,026
01088,厭,0163,1,2,027
01101,去,0164,1,4,028
01108,又,0165,1,20,029
01128,受,0166,1,38,029
01127,取,0167,1,2,029
01111,及,0168,1,22,029
01174,同,0169,1,14,030
01349,唯,0170,1,39,030
01395,善,0171,1,17,030
01412,喜,0172,1,2,030
01296,品,0173,1,56,030
01175,名,0175,1,32,030
01581,嚴,0176,1,5,030
01170,合,0177,1,2,030
01154,可,0178,1,14,030
01421,喩,0179,1,12,030
01168,各,0180,1,7,030
01611,因,0181,1,14,031
01645,圓,0182,1,26,031
01607,四,0183,1,31,031
01654,土,0184,1,37,032
01839,境,0185,1,28,032
01755,執,0186,1,10,032
01666,地,0187,1,34,032
01659,在,0188,1,24,032
01789,堪,0189,1,2,032
01853,增,0190,1,11,032
01938,多,0191,1,9,036
01934,外,0192,1,6,036
01946,大,0193,1,36,037
01957,失,0194,1,4,037
02077,姓,0195,1,3,038
02033,妄,0196,1,2,038
02031,如,0197,1,95,038
02293,學,0199,1,3,039
02325,定,0200,1,24,040
02407,寶,0201,1,2,040
02390,實,0202,1,28,040
02327,宜,0203,1,3,040
02346,害,0204,1,2,040
02357,寂,0205,1,16,040
02352,容,0206,1,8,040
02383,察,0207a,2,6,040
02383b,察,0207b,2,2,040
02392,寧,0208,1,2,040
02309,安,0209,1,13,040
02429,尊,0210,1,4,041
02430,尋,0211,1,2,041
02425,將,0212,1,2,041
02439,小,0213,1,4,042
02464,就,0214,1,4,043
02473,尼,0215,1,3,044
02496,展,0216,1,3,044
02482,居,0217,1,2,044
02515,屬,0218,1,8,044
02783,已,0219,1,14,049
02847,常,0220,1,18,050
02899,平,0221,1,17,051
02993,廣,0222,1,5,053
03006,建,0223,1,2,054
03044,引,0224,1,9,057
03066,強,0225,1,2,057
03116,影,0226,1,4,059
03101,形,0227,1,4,059
03165,微,0228,1,8,060
03138,後,0229,1,31,060
03159,復,0230a,2,6,060
03159b,復,0230b,2,1,060
03145,得,0231,1,79,060
03172,德,0233,1,27,060
03151,從,0234,1,8,060
03124,彼,0235,1,51,060
03372,惱,0237,1,20,061
03267,恆,0238,1,3,061
03179,心,0239,1,58,061
03244,性,0241,1,50,061
03409,感,0242,1,5,061
03439,慈,0243,1,3,061
03404,愚,0244,1,3,061
03348,情,0245,1,21,061
03180,必,0246,1,5,061
03239,思,0247,1,6,061
03550,應,0248,1,45,061
03335,悲,0249,1,5,061
03462,慧,0250,1,2,061
03326,悟,0251,1,3,061
03312,悉,0252,1,2,061
03395,意,0253,1,6,061
03636,戲,0254,1,3,062
03610,成,0255,1,34,062
03617,或,0256,1,28,062
03611,我,0257,1,5,062
03647,所,0258,1,130,063
04192,攝,0261,1,54,064
04085,擇,0263a,2,18,064
04085b,擇,0263b,2,1,064
03896,提,0264,1,8,064
03835,捨,0265,1,22,064
03780,持,0266,1,9,064
03939,損,0267,1,2,064
04261,教,0268,1,5,066
04319,變,0269,1,36,066
04280,散,0270,1,2,066
04298,數,0271,1,4,066
04228,改,0272,1,2,066
04243,故,0273,1,197,066
04373,斯,0277,1,7,069
04381,斷,0278,1,77,069
04389,於,0280,1,28,070
04391,施,0281,1,2,070
04385,方,0282,1,15,070
04442,旣,0283,1,8,071
04569,智,0284,1,84,072
04523,時,0286,1,28,072
04512,是,0287,1,39,072
04557,普,0288,1,2,072
04490,昔,0289,1,3,072
04603,暫,0290,1,3,072
04485,明,0291,1,5,072
04650,曰,0292,1,2,073
04664,最,0293,1,2,073
04654,更,0294,1,2,073
04661,曾,0295,1,2,073
04667,會,0296,1,2,073
04699,期,0297,1,2,074
04674,有,0298,1,141,074
04806,果,0301,1,14,075
05279,樂,0302,1,26,075
05152,業,0303,1,10,075
04848,染,0304,1,13,075
05014,棄,0305,1,4,075
04711,未,0306,1,26,075
05161,極,0307,1,9,075
05228,槃,0308a,3,22,075
05228b,槃,0308b,3,9,075
05228c,槃,0308c,3,5,075
04713,本,0309,1,22,075
04922,根,0310,1,21,075
05558,次,0311,1,5,076
05561,欣,0312,1,2,076
05641,止,0313,1,3,077
05644,此,0314,1,94,077
05686,死,0316,1,12,078
05717,殊,0317,1,3,078
06272,淨,0318,1,50,085
06487,漏,0319,1,60,085
06432,滅,0321,1,44,085
06313,減,0322,1,5,085
05964,求,0323,1,4,085
06476,滿,0324,1,6,085
06285,深,0325,1,3,085
06365,湛,0326,1,3,085
06074,法,0327,1,89,085
06290,清,0329,1,9,085
06003,決,0330,1,4,085
06151,流,0331,1,2,085
06517,漸,0332,1,14,085
05957,永,0333,1,19,085
06941,熏,0334,1,5,086
06885,然,0335,1,16,086
06949,熟,0336,1,7,086
06921,煩,0337,1,17,086
07032,爲,0338,1,55,087
07043,爾,0340,1,15,089
07074,牟,0341,1,3,093
07180,猛,0342,1,2,094
07203,猶,0343,1,5,094
07241,獲,0344,1,4,094
07307,理,0345,1,25,096
07304,現,0346,1,72,096
07457,甚,0348,1,2,099
07461,生,0349,1,65,100
07469,用,0351,1,50,101
07501,界,0352,1,31,102
07520,畢,0353,1,2,102
07522,略,0354,1,4,102
07479,由,0355,1,33,102
07530,異,0356,1,15,102
07559,疑,0357,1,4,103
07706,登,0358,1,3,105
07707,發,0359,1,4,105
07717,皆,0360,1,41,106
07759,益,0361,1,6,108
07779,盡,0362,1,23,108
07827,眞,0363,1,73,109
07844,眾,0365,1,11,109
07828,眠,0366,1,8,109
07843,眼,0367,1,3,109
07941,知,0368,1,25,111
08077,礙,0369,1,6,112
08097,示,0370,1,6,113
08124,神,0371,1,4,113
08244,種,0372,1,63,115
08279,穢,0374,1,4,115
08293,究,0375,1,6,116
08329,窮,0376,1,7,116
08296,空,0377,1,16,116
08354,立,0378,1,7,117
08365,竟,0379,1,8,117
08361,竝,0380,1,3,117
08412,第,0381,1,10,118
08426,等,0382,1,73,118
08753,純,0384,1,12,120
09030,繋,0385,1,2,120
08779,細,0386,1,6,120
08809,絶,0387,1,4,120
09061,續,0388,1,7,120
08924,緣,0389a,2,32,120
08924b,緣,0389b,2,3,120
08885,網,0390,1,2,120
08856,經,0391,1,6,120
08963,縛,0392,1,6,120
09177,義,0393,1,30,123
09214,習,0394,1,11,124
09255,者,0395,1,35,125
09264,而,0396,1,45,126
09315,聞,0397,1,3,128
09328,聲,0398a,2,2,128
09328b,聲,0398b,2,1,128
09292,耶,0399,1,3,128
09314,聚,0400,1,2,128
09308,聖,0401,1,9,128
09462,脩,0402,1,23,130
09463,脱,0403,1,9,130
09429,能,0404,1,50,130
09602,自,0405,1,49,132
09610,至,0406,1,6,133
09629,與,0407,1,18,134
09665,般,0408,1,2,137
09716,色,0409,1,16,139
10163,薩,0410,1,14,140
10191,藏,0411,1,5,140
09788,若,0412,1,22,140
09789,苦,0413,1,14,140
10137,薀,0414,1,7,140
09919,菩,0415a,2,18,140
09919b,菩,0415b,2,4,140
09869,莊,0416,1,5,140
10272,虛,0417,1,5,141
10270,處,0418,1,19,141
10614,行,0419,1,25,144
10826,覆,0420,1,2,146
10822,要,0421,1,4,146
10856,覺,0422,1,5,147
10831,見,0423,1,15,147
10848,親,0424,1,4,147
10859,觀,0425,1,20,147
10875,解,0426,1,14,148
10890,言,0427,1,14,149
11171,識,0428,1,76,149
11085,諸,0430,1,45,149
10930,許,0431,1,2,149
11195,議,0432,1,3,149
10928,設,0433,1,2,149
10914,記,0434,1,3,149
11058,論,0435,1,16,149
11072,諦,0436,1,4,149
11155,證,0437,1,36,149
11095,謂,0438,1,52,149
11025,説,0440,1,103,149
11253,豈,0443,1,5,151
11411,賴,0444,1,2,154
11485,趣,0445,1,3,156
11461,起,0446,1,41,156
11495,足,0447,1,2,157
11715,身,0448,1,89,158
11856,轉,0450,1,64,159
12000,通,0452,1,18,162
12083,遮,0453,1,2,162
12070,遠,0454,1,2,162
12030,逼,0455,1,2,162
12052,達,0456,1,8,162
12051,道,0457,1,37,162
03157,徧,0458,1,11,060
12043,運,0459,1,2,162
12054,違,0460,1,13,162
11974,迷,0461,1,9,162
12115,邊,0462,1,15,162
12188,都,0463,1,2,163
12134,那,0464,1,8,163
12376,量,0465,1,15,166
12373,重,0466,1,10,166
12613,鏡,0467,1,13,167
12380,金,0468,1,10,167
12709,門,0469,1,4,169
12839,限,0470,1,3,170
12927,隨,0471,1,24,170
12913,際,0472,1,14,170
12830,阿,0473,1,4,170
13002,難,0474a,2,3,172
13002b,難,0474b,2,2,172
12963,集,0475,1,9,172
12997,雜,0476,1,6,172
12991,雖,0477,1,33,172
13012,雨,0478,1,4,173
13103,靜,0479,1,2,174
13104,非,0480,1,68,175
13398,類,0482,1,13,181
13416,顯,0483,1,18,181
13391,願,0484,1,4,181
13316,頓,0485,1,13,181
13307,頌,0486,1,3,181
13565,餘,0487,1,35,184
13934,體,0488,1,7,188
14659,麤,0489,1,13,198
00025,世,0490a,2,8,001
00025b,世,0490b,2,4,001
00121,亂,0491a,2,1,005
00121b,亂,0491b,2,1,005
02045,妙,0492a,2,8,038
02045b,妙,0492b,2,3,038
02780,差,0493a,2,8,048
02780b,差,0493b,2,5,048
05643,正,0494a,2,6,077
05643b,正,0494b,2,1,077
06189,涅,0495a,2,35,085
06189b,涅,0495b,2,1,085
06872,無,0496a,2,144,086
06872b,無,0496b,2,47,086
07801,相,0500,1,94,109
08993,總,0502a,3,4,120
08993b,總,0502b,3,2,120
08993c,總,0502c,3,1,120
12046,過,0503,1,2,162
12724,間,0504a,2,10,169
12724b,間,0504b,2,4,169
12935,隱,0505a,2,2,170
12935b,隱,0505b,2,1,170
12914,障,0506a,2,60,170
12914b,障,0506b,2,2,170
13001,離,0508a,2,13,172
13001b,離,0508b,2,3,172
